age,gender,job,experience,studies,income,country,comments,expectations,workload,lecturer,methodology,product,language
30,M,technician,4,degree,54106,BR,,3,1,1,1,C,1
68,M,software developer,9,master,61881,SA,,4,3,1,1,C,1
60,F,software developer,4,professional,17926,US,,2,3,4,5,C,1
27,M,technician,9,professional,50694,CO,,0,3,3,0,C,1
39,M,integrated engineer,2,professional,30484,CO,,0,2,4,4,C,1
71,M,consultant,5,degree,67764,ES,,5,4,3,3,C,1
64,F,economics,9,master,70392,BR,,3,0,2,3,C,1
51,F,informatics engineer,2,master,29174,UK,,0,3,2,4,C,1
28,F,technician,8,master,71521,FR,,2,4,5,0,C,1
72,M,computer science,6,professional,28683,ES,,3,2,3,1,C,1
42,F,integrated engineer,3,degree,59687,UK,,5,0,4,0,C,1
74,M,computer science,2,master,26636,US,,1,2,3,3,C,1
27,M,integrated engineer,5,master,16827,BR,,3,2,4,2,C,1
24,F,technician,6,master,60597,IT,,2,0,4,3,C,1
29,F,software developer,2,professional,50597,CO,,3,5,1,5,C,1
34,F,integrated engineer,6,PhD,69934,IT,,1,4,0,1,C,1
28,M,economics,2,professional,70961,ES,,5,1,1,0,C,1
56,F,marketing,8,master,33437,US,,0,5,4,1,C,1
58,M,manager,1,master,18359,UK,,4,4,0,0,C,1
60,F,integrated engineer,9,master,44539,SA,,0,0,1,5,C,1
54,M,business administration,9,master,58527,SA,,4,1,5,0,C,1
71,M,economics,6,professional,29016,IT,,0,0,1,0,C,1
66,F,consultant,9,master,44397,US,¡Ya tenemos siguiente edición de nuestro #Bootcamp Fullstack Web #Developer!💥Te esperamos el 9 de noviembre💙Para ce… https://t.co/hRhjDNQRT9,1,1,3,3,D,1
41,F,software developer,0,PhD,42894,CO,La #ECIS tiene dos espacios. Los #Bootcamp son asesorías personalizadas para personas que tengan un proyecto o algu… https://t.co/6iWhbi4pKN,3,4,1,0,D,1
40,F,integrated engineer,8,degree,20331,UK,💡¿Cuáles son las claves para organizar un #evento virtual? Estos son los aprendizajes que obtuvimos de nuestro… https://t.co/KKgAp0WRI0,0,0,5,5,D,1
44,F,computer science,7,professional,24211,CO,"¡Estás listx para a última sesión del bootcamp virtual de #LatinxGive!
Te diremos cómo va tu campaña y cómo la pued… https://t.co/HRIXORkTGM",5,4,4,2,D,1
38,F,software developer,7,master,44592,SA,"¡Ya es jueves! 🤩

Es buen día para ganar una beca del 80% para el Bootcamp #fullstack Web Developer modalidad Strea… https://t.co/vplvnOu1c2",5,3,4,1,D,1
23,F,consultant,3,master,41469,ES,"@adristZ Donde te deseo ver es en una bootcamp con @Aaronnnn27 @vakeerby11 @daannfn y yo, @anittaaa8 esta con el ch… https://t.co/0OOqcT2CPX",1,2,5,0,D,1
29,M,informatics engineer,0,professional,73448,CO,RT @sg_sieca: El lanzamiento del programa de aceleración de las exportaciones Eko BootCamp 2.0 está a punto de empezar. Participa y conoce…,4,3,0,0,D,1
72,M,consultant,6,PhD,24425,FR,@profedeportes Vi un bootcamp por la cancha probaste ahí?,3,0,4,1,D,1
74,F,software developer,1,master,27555,CO,"RT @HIPGive: ¡Estás listx para a última sesión del bootcamp virtual de #LatinxGive!
Te diremos cómo va tu campaña y cómo la puedes mejorar.…",4,0,0,3,D,1
37,F,consultant,4,master,69072,ES,"RT @UEenElSalvador: Participa en el lanzamiento del Eko BootCamp 2.0, un programa que beneficiará a 300 empresas de cinco sectores producti…",4,4,1,2,D,1
57,F,economics,1,PhD,21622,UK,"@SergioEsquerra yo solo hice 50 minutos y la mayor parte abs,,,, los 10k seran mañana y x la noche 1 .20 hrs de boo… https://t.co/txGBzGMDho",5,2,5,2,D,1
40,F,economics,1,PhD,31388,ES,,5,4,3,3,D,1
39,M,manager,6,professional,45651,CO,,0,4,5,0,D,1
49,F,computer science,5,degree,53134,CO,,2,0,5,1,D,1
58,F,technician,4,degree,20746,UK,,2,3,3,0,D,1
66,M,informatics engineer,5,professional,31685,IT,,4,4,5,5,D,1
27,M,computer science,9,degree,45762,BR,,0,2,3,1,D,1
48,M,integrated engineer,0,PhD,28692,SA,,5,3,2,3,D,1
49,M,business administration,5,professional,61307,IT,,2,0,1,2,D,1
32,F,software developer,1,PhD,35800,SA,,0,3,5,3,D,1
32,M,consultant,6,degree,16855,FR,,5,3,1,5,D,1
57,F,informatics engineer,2,PhD,33353,SA,,0,0,3,2,D,1
31,M,finance,0,degree,64844,ES,,0,5,5,5,D,1
25,M,integrated engineer,9,PhD,56864,BR,,3,2,1,5,D,1
60,F,integrated engineer,6,degree,18200,FR,,1,5,2,1,D,1
28,M,finance,7,degree,36760,SA,,1,1,4,4,D,1
33,M,integrated engineer,7,degree,16592,ES,,0,0,4,5,D,1
38,M,software developer,4,degree,73132,SA,,2,1,0,2,D,1
54,F,technician,8,professional,35004,FR,,2,3,2,0,D,1
46,M,finance,9,master,41324,BR,,2,5,3,5,D,1
65,M,technician,8,PhD,39533,ES,,2,0,2,5,D,1
60,F,economics,0,PhD,46456,SA,,0,0,1,3,D,1
52,M,informatics engineer,4,master,64406,BR,,1,1,3,1,D,1
25,F,economics,3,degree,61272,US,,3,4,0,1,D,1
72,F,business administration,9,PhD,15236,US,,0,2,4,4,D,1
48,M,computer science,1,professional,15070,UK,,2,2,4,3,D,1
29,F,technician,9,master,60672,ES,,2,4,3,1,D,1
28,M,consultant,2,master,25723,BR,,4,5,3,3,D,1
52,M,manager,7,PhD,49626,US,,2,4,4,5,D,1
25,M,computer science,5,degree,55888,FR,,1,1,0,3,D,1
36,F,software developer,4,degree,65929,US,,0,5,5,0,D,1
29,F,consultant,7,professional,65225,CO,,0,5,5,1,D,1
68,F,finance,9,PhD,47428,FR,,1,4,4,5,D,1
48,F,business administration,8,professional,45627,IT,,5,0,3,3,D,1
45,M,business administration,7,master,67781,BR,,2,2,4,1,D,1
30,M,consultant,9,professional,15352,UK,,5,3,4,2,D,1
60,M,software developer,1,professional,59073,IT,,1,3,1,3,D,1
56,M,manager,3,PhD,44289,FR,,0,5,1,1,D,1
64,F,manager,7,degree,64297,BR,,4,2,4,3,D,1
46,F,computer science,5,PhD,55684,IT,,3,0,4,2,D,1
67,F,technician,9,master,59152,CO,,5,3,5,3,D,1
56,M,integrated engineer,8,professional,65948,US,,4,0,3,1,D,1
63,M,integrated engineer,8,PhD,43410,SA,,0,1,3,0,D,1
27,F,marketing,5,master,46379,US,,0,4,5,0,D,1
68,F,consultant,0,PhD,38980,IT,,5,0,2,4,D,1
68,F,informatics engineer,2,PhD,31445,IT,,0,2,4,5,D,1
57,M,integrated engineer,1,degree,35366,BR,,0,1,0,2,D,1
75,F,integrated engineer,4,professional,18552,ES,,1,3,1,0,D,1
67,M,software developer,6,degree,28095,FR,,4,3,5,2,D,1
28,M,consultant,1,master,26824,SA,,4,2,5,4,D,1
25,F,consultant,7,professional,73131,BR,,4,0,4,5,D,1
41,F,economics,3,degree,33515,CO,,0,4,2,4,D,1
51,F,business administration,3,master,64678,UK,,2,0,5,2,D,1
27,F,manager,8,degree,35781,CO,,5,2,4,0,D,1
24,F,marketing,3,degree,66390,IT,,5,2,4,3,D,1
54,M,integrated engineer,2,degree,45348,FR,,5,4,5,3,D,1
69,M,computer science,8,master,21308,ES,,3,2,4,2,D,1
